Nom du Placemark,Point #,Longitude,Latitude,Altitude
Progressive 2008 pine now 2.53,1,32.31298295476709,0.9852833869246528,0.0
Progressive 2008 pine now 2.53,2,32.31304283549078,0.9844984278727664,0.0
Progressive 2008 pine now 2.53,3,32.31316924164644,0.9835072500817563,0.0
Progressive 2008 pine now 2.53,4,32.31327569574211,0.9835072512077782,0.0
Progressive 2008 pine now 2.53,5,32.31342872268095,0.9834806438779474,0.0
Progressive 2008 pine now 2.53,6,32.31366824226238,0.9834673418246612,0.0
Progressive 2008 pine now 2.53,7,32.31402751944161,0.9834673448927373,0.0
Progressive 2008 pine now 2.53,8,32.31407409991863,0.9851702945917014,0.0
Progressive 2008 pine now 2.53,9,32.31409405912368,0.9853964672763055,0.0
Progressive 2008 pine now 2.53,10,32.314094058916,0.9854629887252083,0.0
Progressive 2008 pine now 2.53,11,32.31409405870309,0.9855228580111748,0.0
Progressive 2008 pine now 2.53,12,32.31403417884111,0.9856891622742378,0.0
Progressive 2008 pine now 2.53,13,32.31362167617482,0.9855428177833137,0.0
Progressive 2008 pine now 2.53,14,32.31352852994777,0.9855361663370058,0.0
Progressive 2008 pine now 2.53,15,32.31336219654639,0.9855029066929527,0.0
Progressive 2008 pine now 2.53,16,32.31334223650485,0.9855029068449754,0.0
Progressive 2008 pine now 2.53,17,32.31321582297183,0.985429733723468,0.0
Progressive 2008 pine now 2.53,18,32.31312267586277,0.9853565601971737,0.0
Progressive 2008 pine now 2.53,19,32.31308275545555,0.9853698648712359,0.0
Progressive 2008 pine now 2.53,20,32.31302287471821,0.9853964741164544,0.0
Progressive 2008 pine now 2.53,21,32.31298295476709,0.9852833869246528,0.0
